Name,Born,Season,Team,Lg,Salary
Clint Capela,1994-05-18,2015-16,Houston Rockets,NBA,1242720
Clint Capela,1994-05-18,2016-17,Houston Rockets,NBA,1296240
Clint Capela,1994-05-18,2017-18,Houston Rockets,NBA,2334520
Clint Capela,1994-05-18,2018-19,Houston Rockets,NBA,15293104
Clint Capela,1994-05-18,2019-20,Atlanta Hawks,NBA,14896552
Clint Capela,1994-05-18,2020-21,Atlanta Hawks,NBA,16000000
Devin Cannady,1996-05-21,2020-21,Orlando Magic,NBA,< Minimum
Vlatko Čančar,1997-04-10,2020-21,Denver Nuggets,NBA,1517981
Devontae Cacok,1996-10-08,2019-20,Los Angeles Lakers,NBA,< Minimum
Facundo Campazzo,1991-03-23,2020-21,Denver Nuggets,NBA,3200000
Kentavious Caldwell-Pope,1993-02-18,2013-14,Detroit Pistons,NBA,2653080
Devontae Cacok,1996-10-08,2020-21,Los Angeles Lakers,NBA,< Minimum
Kentavious Caldwell-Pope,1993-02-18,2014-15,Detroit Pistons,NBA,2772480
Kentavious Caldwell-Pope,1993-02-18,2015-16,Detroit Pistons,NBA,2891760
Kentavious Caldwell-Pope,1993-02-18,2016-17,Detroit Pistons,NBA,3678319
Kentavious Caldwell-Pope,1993-02-18,2017-18,Los Angeles Lakers,NBA,17745894
Kentavious Caldwell-Pope,1993-02-18,2018-19,Los Angeles Lakers,NBA,12000000
Kentavious Caldwell-Pope,1993-02-18,2019-20,Los Angeles Lakers,NBA,8089282
Kentavious Caldwell-Pope,1993-02-18,2020-21,Los Angeles Lakers,NBA,12073020
Nick Calathes,1989-02-07,2014-15,Memphis Grizzlies,NBA,816482
Isaiah Canaan,1991-05-21,2014-15,Philadelphia 76ers,NBA,816482
Marcus Camby,1974-03-22,2009-10,Portland Trail Blazers,NBA,7650000
José Calderón,1981-09-28,2009-10,Toronto Raptors,NBA,8219009
Alex Kirk,1991-11-14,2014-15,New York Knicks,NBA,65000
Andrei Kirilenko,1981-02-18,2009-10,Utah Jazz,NBA,16452000
Louis King,1999-04-06,2019-20,Detroit Pistons,NBA,< Minimum
George King,1994-01-15,2018-19,Phoenix Suns,NBA,< Minimum
Stanton Kidd,1992-03-18,2019-20,Utah Jazz,NBA,250000
Sean Kilpatrick,1990-01-06,2014-15,Golden State Warriors,NBA,35000
Michael Kidd-Gilchrist,1993-09-26,2012-13,Charlotte Bobcats,NBA,4602720
Keith Appling,1992-02-13,2015-16,Orlando Magic,NBA,161776
OG Anunoby,1997-07-17,2017-18,Toronto Raptors,NBA,1645200
Pero Antić,1982-07-29,2014-15,Atlanta Hawks,NBA,1250000
Isaiah Canaan,1991-05-21,2015-16,Philadelphia 76ers,NBA,947276
Isaiah Canaan,1991-05-21,2016-17,Chicago Bulls,NBA,1015696
Isaiah Canaan,1991-05-21,2017-18,Phoenix Suns,NBA,997547
Isaiah Canaan,1991-05-21,2017-18,Chicago Bulls,NBA,200000
Isaiah Canaan,1991-05-21,2017-18,Houston Rockets,NBA,53465
Isaiah Canaan,1991-05-21,2018-19,Phoenix Suns,NBA,456733
Isaiah Canaan,1991-05-21,2018-19,Minnesota Timberwolves,NBA,198580
Isaiah Canaan,1991-05-21,2018-19,Milwaukee Bucks,NBA,99290
Marcus Camby,1974-03-22,2010-11,Portland Trail Blazers,NBA,11749832
Marcus Camby,1974-03-22,2011-12,Portland Trail Blazers,NBA,11227250
Marcus Camby,1974-03-22,2012-13,New York Knicks,NBA,4590338
Marcus Camby,1974-03-22,2013-14,Toronto Raptors,NBA,4383773
Marcus Camby,1974-03-22,2013-14,Houston Rockets,NBA,1399507
Marcus Camby,1974-03-22,2014-15,Toronto Raptors,NBA,646609
José Calderón,1981-09-28,2010-11,Toronto Raptors,NBA,9000000
José Calderón,1981-09-28,2011-12,Toronto Raptors,NBA,9780992
José Calderón,1981-09-28,2012-13,Detroit Pistons,NBA,11046591
José Calderón,1981-09-28,2013-14,Dallas Mavericks,NBA,6791570
José Calderón,1981-09-28,2014-15,New York Knicks,NBA,7097191
José Calderón,1981-09-28,2015-16,New York Knicks,NBA,7402812
José Calderón,1981-09-28,2016-17,Los Angeles Lakers,NBA,7708427
José Calderón,1981-09-28,2016-17,Atlanta Hawks,NBA,392478
José Calderón,1981-09-28,2017-18,Cleveland Cavaliers,NBA,1471382
José Calderón,1981-09-28,2018-19,Detroit Pistons,NBA,2393887
Andrei Kirilenko,1981-02-18,2010-11,Utah Jazz,NBA,17823000
Andrei Kirilenko,1981-02-18,2012-13,Minnesota Timberwolves,NBA,9779349
Andrei Kirilenko,1981-02-18,2013-14,Brooklyn Nets,NBA,3183000
Andrei Kirilenko,1981-02-18,2014-15,Philadelphia 76ers,NBA,3326235
Jason Kidd,1973-03-23,2009-10,Dallas Mavericks,NBA,8000000
Thanasis Antetokounmpo,1992-07-18,2015-16,New York Knicks,NBA,105888
Cole Anthony,2000-05-15,2020-21,Orlando Magic,NBA,3285120
Sean Kilpatrick,1990-01-06,2014-15,Minnesota Timberwolves,NBA,29843
Sean Kilpatrick,1990-01-06,2015-16,Brooklyn Nets,NBA,320594
Sean Kilpatrick,1990-01-06,2015-16,Denver Nuggets,NBA,99418
Sean Kilpatrick,1990-01-06,2016-17,Brooklyn Nets,NBA,980431
Sean Kilpatrick,1990-01-06,2017-18,Chicago Bulls,NBA,2163006
Sean Kilpatrick,1990-01-06,2017-18,Brooklyn Nets,NBA,1524305
Sean Kilpatrick,1990-01-06,2017-18,Milwaukee Bucks,NBA,789725
Sean Kilpatrick,1990-01-06,2017-18,Los Angeles Clippers,NBA,166258
Michael Kidd-Gilchrist,1993-09-26,2013-14,Charlotte Bobcats,NBA,4809840
Michael Kidd-Gilchrist,1993-09-26,2014-15,Charlotte Hornets,NBA,5016960
Michael Kidd-Gilchrist,1993-09-26,2015-16,Charlotte Hornets,NBA,6331404
Michael Kidd-Gilchrist,1993-09-26,2016-17,Charlotte Hornets,NBA,13000000
Michael Kidd-Gilchrist,1993-09-26,2017-18,Charlotte Hornets,NBA,13000000
Michael Kidd-Gilchrist,1993-09-26,2018-19,Charlotte Hornets,NBA,13000000
Michael Kidd-Gilchrist,1993-09-26,2019-20,Charlotte Hornets,NBA,12189237
Michael Kidd-Gilchrist,1993-09-26,2019-20,Dallas Mavericks,NBA,810763
OG Anunoby,1997-07-17,2018-19,Toronto Raptors,NBA,1952760
OG Anunoby,1997-07-17,2019-20,Toronto Raptors,NBA,2281800
OG Anunoby,1997-07-17,2020-21,Toronto Raptors,NBA,3872215
Joel Anthony,1982-08-09,2009-10,Miami Heat,NBA,825497
Carmelo Anthony,1984-05-29,2009-10,Denver Nuggets,NBA,15779912
Kostas Antetokounmpo,1997-11-20,2018-19,Dallas Mavericks,NBA,< Minimum
Jason Kidd,1973-03-23,2010-11,Dallas Mavericks,NBA,8610500
Jason Kidd,1973-03-23,2011-12,Dallas Mavericks,NBA,10121000
Jason Kidd,1973-03-23,2012-13,New York Knicks,NBA,3090000
Thanasis Antetokounmpo,1992-07-18,2019-20,Milwaukee Bucks,NBA,1445697
Thanasis Antetokounmpo,1992-07-18,2020-21,Milwaukee Bucks,NBA,1701593
Joel Anthony,1982-08-09,2010-11,Miami Heat,NBA,3300000
Joel Anthony,1982-08-09,2011-12,Miami Heat,NBA,3600000
Joel Anthony,1982-08-09,2012-13,Miami Heat,NBA,3750000
Joel Anthony,1982-08-09,2013-14,Miami Heat,NBA,3800000
Joel Anthony,1982-08-09,2014-15,Detroit Pistons,NBA,3800000
Joel Anthony,1982-08-09,2015-16,Detroit Pistons,NBA,2500000
Joel Anthony,1982-08-09,2016-17,San Antonio Spurs,NBA,663810
Carmelo Anthony,1984-05-29,2010-11,New York Knicks,NBA,17149243
Carmelo Anthony,1984-05-29,2011-12,New York Knicks,NBA,18518574
Carmelo Anthony,1984-05-29,2012-13,New York Knicks,NBA,19450000
Carmelo Anthony,1984-05-29,2013-14,New York Knicks,NBA,22407474
Carmelo Anthony,1984-05-29,2014-15,New York Knicks,NBA,22458000
Carmelo Anthony,1984-05-29,2015-16,New York Knicks,NBA,22875000
Carmelo Anthony,1984-05-29,2016-17,New York Knicks,NBA,24559380
Carmelo Anthony,1984-05-29,2017-18,Oklahoma City Thunder,NBA,26243760
Carmelo Anthony,1984-05-29,2018-19,Atlanta Hawks,NBA,25534253
Carmelo Anthony,1984-05-29,2018-19,Chicago Bulls,NBA,2393887
Carmelo Anthony,1984-05-29,2019-20,Portland Trail Blazers,NBA,2159029
Kostas Antetokounmpo,1997-11-20,2019-20,Los Angeles Lakers,NBA,< Minimum
Kostas Antetokounmpo,1997-11-20,2020-21,Los Angeles Lakers,NBA,< Minimum
Carmelo Anthony,1984-05-29,2020-21,Portland Trail Blazers,NBA,2564753
Ike Anigbogu,1998-10-17,2017-18,Indiana Pacers,NBA,950000
Ike Anigbogu,1998-10-17,2018-19,Indiana Pacers,NBA,1378242
James Anderson,1989-03-25,2010-11,San Antonio Spurs,NBA,1361400
Thaddeus Young,1988-06-21,2009-10,Philadelphia 76ers,NBA,2105400
Ryan Anderson,1988-05-06,2009-10,Orlando Magic,NBA,1317120
Sam Young,1985-06-01,2009-10,Memphis Grizzlies,NBA,824200
Kyle Anderson,1993-09-20,2014-15,San Antonio Spurs,NBA,1093680
James Anderson,1989-03-25,2011-12,San Antonio Spurs,NBA,1463520
James Anderson,1989-03-25,2012-13,Houston Rockets,NBA,472427
James Anderson,1989-03-25,2012-13,San Antonio Spurs,NBA,145749
James Anderson,1989-03-25,2013-14,Philadelphia 76ers,NBA,916099
James Anderson,1989-03-25,2015-16,Sacramento Kings,NBA,1015421
Justin Anderson,1993-11-19,2015-16,Dallas Mavericks,NBA,1449000
Thaddeus Young,1988-06-21,2010-11,Philadelphia 76ers,NBA,2901241
Thaddeus Young,1988-06-21,2011-12,Philadelphia 76ers,NBA,7478261
Thaddeus Young,1988-06-21,2012-13,Philadelphia 76ers,NBA,8289130
Thaddeus Young,1988-06-21,2013-14,Philadelphia 76ers,NBA,8600000
Thaddeus Young,1988-06-21,2014-15,Brooklyn Nets,NBA,9410870
Thaddeus Young,1988-06-21,2015-16,Brooklyn Nets,NBA,11200000
Thaddeus Young,1988-06-21,2016-17,Indiana Pacers,NBA,14153652
Thaddeus Young,1988-06-21,2017-18,Indiana Pacers,NBA,14796348
Thaddeus Young,1988-06-21,2018-19,Indiana Pacers,NBA,13764045
Thaddeus Young,1988-06-21,2019-20,Chicago Bulls,NBA,12900000
Thaddeus Young,1988-06-21,2020-21,Chicago Bulls,NBA,13545000
Ryan Anderson,1988-05-06,2010-11,Orlando Magic,NBA,1409040
Ryan Anderson,1988-05-06,2011-12,Orlando Magic,NBA,2244601
Ryan Anderson,1988-05-06,2012-13,New Orleans Hornets,NBA,8700000
Ryan Anderson,1988-05-06,2013-14,New Orleans Pelicans,NBA,8308500
Ryan Anderson,1988-05-06,2014-15,New Orleans Pelicans,NBA,8491500
Ryan Anderson,1988-05-06,2015-16,New Orleans Pelicans,NBA,8500000
Ryan Anderson,1988-05-06,2016-17,Houston Rockets,NBA,18735364
Ryan Anderson,1988-05-06,2017-18,Houston Rockets,NBA,19578455
Ryan Anderson,1988-05-06,2018-19,Miami Heat,NBA,20421546
Sam Young,1985-06-01,2010-11,Memphis Grizzlies,NBA,886000
Sam Young,1985-06-01,2011-12,Memphis Grizzlies,NBA,947800
Sam Young,1985-06-01,2012-13,Indiana Pacers,NBA,723716
Kyle Anderson,1993-09-20,2015-16,San Antonio Spurs,NBA,1142879
Kyle Anderson,1993-09-20,2016-17,San Antonio Spurs,NBA,1192080
Kyle Anderson,1993-09-20,2017-18,San Antonio Spurs,NBA,2151704
Kyle Anderson,1993-09-20,2018-19,Memphis Grizzlies,NBA,8641000
Kyle Anderson,1993-09-20,2019-20,Memphis Grizzlies,NBA,9073050
Kyle Anderson,1993-09-20,2020-21,Memphis Grizzlies,NBA,9505100
Giannis Antetokounmpo,1994-12-06,2013-14,Milwaukee Bucks,NBA,1792560
Nick Young,1985-06-01,2009-10,Washington Wizards,NBA,1714800
Joe Young,1992-06-27,2015-16,Indiana Pacers,NBA,1000000
James Young,1995-08-16,2014-15,Boston Celtics,NBA,1674480
Guerschon Yabusele,1995-12-17,2017-18,Boston Celtics,NBA,2247480
Justin Anderson,1993-11-19,2016-17,Philadelphia 76ers,NBA,1514160
Justin Anderson,1993-11-19,2017-18,Philadelphia 76ers,NBA,1579440
Justin Anderson,1993-11-19,2018-19,Atlanta Hawks,NBA,2516048
Justin Anderson,1993-11-19,2019-20,Brooklyn Nets,NBA,294432
Justin Anderson,1993-11-19,2020-21,Philadelphia 76ers,NBA,125000
Jae'Sean Tate,1995-10-28,2020-21,Houston Rockets,NBA,1445967
Domantas Sabonis,1996-05-03,2016-17,Oklahoma City Thunder,NBA,2440200
Chandler Parsons,1988-10-25,2011-12,Houston Rockets,NBA,850000
Tony Parker,1982-05-17,2009-10,San Antonio Spurs,NBA,12600000
Ryan Anderson,1988-05-06,2019-20,Miami Heat,NBA,5214583
Ryan Anderson,1988-05-06,2019-20,Houston Rockets,NBA,500000
Ryan Anderson,1988-05-06,2020-21,Miami Heat,NBA,5214583
Giannis Antetokounmpo,1994-12-06,2014-15,Milwaukee Bucks,NBA,1873200
Giannis Antetokounmpo,1994-12-06,2015-16,Milwaukee Bucks,NBA,1953960
Giannis Antetokounmpo,1994-12-06,2016-17,Milwaukee Bucks,NBA,2995421
Giannis Antetokounmpo,1994-12-06,2017-18,Milwaukee Bucks,NBA,22471910
Giannis Antetokounmpo,1994-12-06,2018-19,Milwaukee Bucks,NBA,24157304
Giannis Antetokounmpo,1994-12-06,2019-20,Milwaukee Bucks,NBA,25842697
Giannis Antetokounmpo,1994-12-06,2020-21,Milwaukee Bucks,NBA,27528088
Nick Young,1985-06-01,2010-11,Washington Wizards,NBA,2630503
Nick Young,1985-06-01,2011-12,Washington Wizards,NBA,3695857
Nick Young,1985-06-01,2012-13,Philadelphia 76ers,NBA,5600000
Nick Young,1985-06-01,2013-14,Los Angeles Lakers,NBA,1106942
Nick Young,1985-06-01,2014-15,Los Angeles Lakers,NBA,4994420
Nick Young,1985-06-01,2015-16,Los Angeles Lakers,NBA,5219169
Nick Young,1985-06-01,2016-17,Los Angeles Lakers,NBA,5443918
Joe Young,1992-06-27,2016-17,Indiana Pacers,NBA,1052342
Joe Young,1992-06-27,2017-18,Indiana Pacers,NBA,1471382
James Young,1995-08-16,2015-16,Boston Celtics,NBA,1749840
James Young,1995-08-16,2016-17,Boston Celtics,NBA,1825200
James Young,1995-08-16,2017-18,Philadelphia 76ers,NBA,< Minimum
Guerschon Yabusele,1995-12-17,2018-19,Boston Celtics,NBA,2667600
Guerschon Yabusele,1995-12-17,2019-20,Boston Celtics,NBA,1039080
Guerschon Yabusele,1995-12-17,2020-21,Boston Celtics,NBA,1039080
Jabari Parker,1995-03-15,2014-15,Milwaukee Bucks,NBA,4930560
Domantas Sabonis,1996-05-03,2017-18,Indiana Pacers,NBA,2550000
Domantas Sabonis,1996-05-03,2018-19,Indiana Pacers,NBA,2659800
Domantas Sabonis,1996-05-03,2019-20,Indiana Pacers,NBA,3529555
Domantas Sabonis,1996-05-03,2020-21,Indiana Pacers,NBA,19800000
Chandler Parsons,1988-10-25,2012-13,Houston Rockets,NBA,888250
Chandler Parsons,1988-10-25,2013-14,Houston Rockets,NBA,926500
Chandler Parsons,1988-10-25,2014-15,Dallas Mavericks,NBA,14700000
Chandler Parsons,1988-10-25,2015-16,Dallas Mavericks,NBA,15361500
Chandler Parsons,1988-10-25,2016-17,Memphis Grizzlies,NBA,22116750
Chandler Parsons,1988-10-25,2017-18,Memphis Grizzlies,NBA,23112004
Chandler Parsons,1988-10-25,2018-19,Memphis Grizzlies,NBA,24107258
Chandler Parsons,1988-10-25,2019-20,Atlanta Hawks,NBA,25102511
Tony Parker,1982-05-17,2010-11,San Antonio Spurs,NBA,13500000
Tony Parker,1982-05-17,2011-12,San Antonio Spurs,NBA,12500000
Tony Parker,1982-05-17,2012-13,San Antonio Spurs,NBA,12500000
Tony Parker,1982-05-17,2013-14,San Antonio Spurs,NBA,12500000
Tony Parker,1982-05-17,2014-15,San Antonio Spurs,NBA,12500000
Tony Parker,1982-05-17,2015-16,San Antonio Spurs,NBA,13437500
Tony Parker,1982-05-17,2016-17,San Antonio Spurs,NBA,14445313
Tony Parker,1982-05-17,2017-18,San Antonio Spurs,NBA,15453126
Tony Parker,1982-05-17,2018-19,Charlotte Hornets,NBA,5000000
Nick Young,1985-06-01,2017-18,Golden State Warriors,NBA,5192000
Nick Young,1985-06-01,2018-19,Denver Nuggets,NBA,311070
Jabari Parker,1995-03-15,2015-16,Milwaukee Bucks,NBA,5152440
Jabari Parker,1995-03-15,2016-17,Milwaukee Bucks,NBA,5374320
Jabari Parker,1995-03-15,2017-18,Milwaukee Bucks,NBA,6782392
Jabari Parker,1995-03-15,2018-19,Washington Wizards,NBA,20000000
Jabari Parker,1995-03-15,2019-20,Sacramento Kings,NBA,6500000
Jabari Parker,1995-03-15,2020-21,Sacramento Kings,NBA,6500000
Jabari Parker,1995-03-15,2020-21,Boston Celtics,NBA,430729
Jeremy Pargo,1986-03-17,2011-12,Memphis Grizzlies,NBA,1000000
Kostas Papanikolaou,1990-07-31,2014-15,Houston Rockets,NBA,4800000
Georgios Papagiannis,1997-07-03,2016-17,Sacramento Kings,NBA,2202240
Jeremy Pargo,1986-03-17,2012-13,Cleveland Cavaliers,NBA,762195
Jeremy Pargo,1986-03-17,2012-13,Philadelphia 76ers,NBA,443867
Jeremy Pargo,1986-03-17,2019-20,Golden State Warriors,NBA,91557
Kostas Papanikolaou,1990-07-31,2015-16,Denver Nuggets,NBA,350000
Georgios Papagiannis,1997-07-03,2017-18,Sacramento Kings,NBA,2301360
Georgios Papagiannis,1997-07-03,2017-18,Portland Trail Blazers,NBA,259556
Georgios Papagiannis,1997-07-03,2018-19,Sacramento Kings,NBA,2000400
Marcus Paige,1993-09-11,2016-17,Utah Jazz,NBA,125000
Anthony Parker,1975-06-19,2009-10,Cleveland Cavaliers,NBA,2644230
Jannero Pargo,1979-10-22,2009-10,Chicago Bulls,NBA,2000000
Diante Garrett,1988-11-03,2012-13,Phoenix Suns,NBA,473604
Billy Garrett,1994-10-16,2018-19,New York Knicks,NBA,42634
Darius Garland,2000-01-26,2019-20,Cleveland Cavaliers,NBA,6400920
Patricio Garino,1993-05-17,2016-17,San Antonio Spurs,NBA,100000
Kevin Garnett,1976-05-19,2009-10,Boston Celtics,NBA,16400000
Marcus Paige,1993-09-11,2017-18,Charlotte Hornets,NBA,< Minimum
Anthony Parker,1975-06-19,2010-11,Cleveland Cavaliers,NBA,2855700
Anthony Parker,1975-06-19,2011-12,Cleveland Cavaliers,NBA,2250000
Jannero Pargo,1979-10-22,2011-12,Atlanta Hawks,NBA,1223166
Jannero Pargo,1979-10-22,2012-13,Atlanta Hawks,NBA,165487
Jannero Pargo,1979-10-22,2012-13,Washington Wizards,NBA,115122
Jannero Pargo,1979-10-22,2013-14,Charlotte Bobcats,NBA,1399507
Jannero Pargo,1979-10-22,2014-15,Charlotte Hornets,NBA,1448490
Diante Garrett,1988-11-03,2014-15,Portland Trail Blazers,NBA,915243
Darius Garland,2000-01-26,2020-21,Cleveland Cavaliers,NBA,6720720
Patricio Garino,1993-05-17,2016-17,Orlando Magic,NBA,31969
Kevin Garnett,1976-05-19,2010-11,Boston Celtics,NBA,18800000
Kevin Garnett,1976-05-19,2011-12,Boston Celtics,NBA,21247044
Kevin Garnett,1976-05-19,2012-13,Boston Celtics,NBA,11566265
Kevin Garnett,1976-05-19,2013-14,Brooklyn Nets,NBA,12443735
Kevin Garnett,1976-05-19,2014-15,Minnesota Timberwolves,NBA,12000000
Kevin Garnett,1976-05-19,2015-16,Minnesota Timberwolves,NBA,8500000
Kevin Garnett,1976-05-19,2016-17,Minnesota Timberwolves,NBA,8000000
Sundiata Gaines,1986-04-18,2009-10,Utah Jazz,NBA,269169
Cory Jefferson,1990-12-26,2014-15,Brooklyn Nets,NBA,507336
Daniel Gafford,1998-10-01,2019-20,Chicago Bulls,NBA,898310
Dan Gadzuric,1978-02-02,2009-10,Milwaukee Bucks,NBA,6749260
Francisco García,1981-12-31,2009-10,Sacramento Kings,NBA,5800000
Langston Galloway,1991-12-09,2014-15,New York Knicks,NBA,235762
Danilo Gallinari,1988-08-08,2009-10,New York Knicks,NBA,3089040
Sundiata Gaines,1986-04-18,2010-11,Minnesota Timberwolves,NBA,237626
Sundiata Gaines,1986-04-18,2010-11,Toronto Raptors,NBA,89670
Sundiata Gaines,1986-04-18,2011-12,New Jersey Nets,NBA,854389
Cory Jefferson,1990-12-26,2015-16,Phoenix Suns,NBA,421449
Daniel Gafford,1998-10-01,2020-21,Washington Wizards,NBA,1517981
Dan Gadzuric,1978-02-02,2010-11,New Jersey Nets,NBA,7248325
Francisco García,1981-12-31,2010-11,Sacramento Kings,NBA,5500000
Francisco García,1981-12-31,2011-12,Sacramento Kings,NBA,5800000
Francisco García,1981-12-31,2012-13,Houston Rockets,NBA,6100000
Francisco García,1981-12-31,2013-14,Houston Rockets,NBA,1265977
Francisco García,1981-12-31,2014-15,Houston Rockets,NBA,1316809
Langston Galloway,1991-12-09,2015-16,New York Knicks,NBA,845059
Langston Galloway,1991-12-09,2016-17,Sacramento Kings,NBA,5200000
Langston Galloway,1991-12-09,2017-18,Detroit Pistons,NBA,6666667
Langston Galloway,1991-12-09,2018-19,Detroit Pistons,NBA,7000000
Langston Galloway,1991-12-09,2019-20,Detroit Pistons,NBA,7333333
Langston Galloway,1991-12-09,2020-21,Phoenix Suns,NBA,2028594
Danilo Gallinari,1988-08-08,2010-11,Denver Nuggets,NBA,3304560
Danilo Gallinari,1988-08-08,2011-12,Denver Nuggets,NBA,4190182
Danilo Gallinari,1988-08-08,2012-13,Denver Nuggets,NBA,9439000
Danilo Gallinari,1988-08-08,2013-14,Denver Nuggets,NBA,10146925
Danilo Gallinari,1988-08-08,2014-15,Denver Nuggets,NBA,10854850
Danilo Gallinari,1988-08-08,2015-16,Denver Nuggets,NBA,14000000
Danilo Gallinari,1988-08-08,2016-17,Denver Nuggets,NBA,15050000
Danilo Gallinari,1988-08-08,2017-18,Los Angeles Clippers,NBA,20559599
Danilo Gallinari,1988-08-08,2018-19,Los Angeles Clippers,NBA,21587579
Danilo Gallinari,1988-08-08,2019-20,Oklahoma City Thunder,NBA,22615559
Danilo Gallinari,1988-08-08,2020-21,Atlanta Hawks,NBA,19500000
Amile Jefferson,1993-05-07,2017-18,Minnesota Timberwolves,NBA,4608
Nathan Jawai,1986-10-10,2009-10,Minnesota Timberwolves,NBA,736420
Al Jefferson,1985-01-04,2009-10,Minnesota Timberwolves,NBA,12000000
Amile Jefferson,1993-05-07,2018-19,Orlando Magic,NBA,< Minimum
Amile Jefferson,1993-05-07,2019-20,Orlando Magic,NBA,1519851
Al Jefferson,1985-01-04,2010-11,Utah Jazz,NBA,13000000
Al Jefferson,1985-01-04,2011-12,Utah Jazz,NBA,14000000
Al Jefferson,1985-01-04,2012-13,Utah Jazz,NBA,15000000
Al Jefferson,1985-01-04,2013-14,Charlotte Bobcats,NBA,13500000
Al Jefferson,1985-01-04,2014-15,Charlotte Hornets,NBA,13666667
Al Jefferson,1985-01-04,2015-16,Charlotte Hornets,NBA,13833333
Al Jefferson,1985-01-04,2016-17,Indiana Pacers,NBA,10230179
Al Jefferson,1985-01-04,2017-18,Indiana Pacers,NBA,9769821
Al Jefferson,1985-01-04,2018-19,Indiana Pacers,NBA,4000000
Marko Jarić,1978-10-12,2009-10,Memphis Grizzlies,NBA,7100000
Marko Jarić,1978-10-12,2010-11,Memphis Grizzlies,NBA,7625000
Antawn Jamison,1976-06-12,2009-10,Cleveland Cavaliers,NBA,11641095
Jerome James,1975-11-17,2009-10,Chicago Bulls,NBA,6600000
Mike James,1975-06-23,2009-10,Washington Wizards,NBA,6466600
Mike James,1990-08-18,2017-18,Phoenix Suns,NBA,87552
Antawn Jamison,1976-06-12,2010-11,Cleveland Cavaliers,NBA,13358905
Antawn Jamison,1976-06-12,2011-12,Cleveland Cavaliers,NBA,15076715
Antawn Jamison,1976-06-12,2012-13,Los Angeles Lakers,NBA,1352181
Antawn Jamison,1976-06-12,2013-14,Los Angeles Clippers,NBA,1399507
Mike James,1975-06-23,2011-12,Chicago Bulls,NBA,277566
Mike James,1975-06-23,2012-13,Dallas Mavericks,NBA,795401
Damion James,1987-10-07,2010-11,New Jersey Nets,NBA,1156320
Mike James,1990-08-18,2017-18,New Orleans Pelicans,NBA,< Minimum
Mike James,1990-08-18,2020-21,Brooklyn Nets,NBA,237648
LeBron James,1984-12-30,2009-10,Cleveland Cavaliers,NBA,15779912
Justin James,1997-01-24,2019-20,Sacramento Kings,NBA,898310
Ivan Rabb,1997-02-04,2017-18,Memphis Grizzlies,NBA,950000
Dean Wade,1996-11-20,2019-20,Cleveland Cavaliers,NBA,375000
Roko Ukić,1984-05-12,2009-10,Milwaukee Bucks,NBA,303232
Denzel Valentine,1993-11-16,2016-17,Chicago Bulls,NBA,2092200
Ben Uzoh,1988-03-19,2010-11,New Jersey Nets,NBA,473604
Jarrod Uthoff,1993-05-19,2016-17,Dallas Mavericks,NBA,63938
Tyler Ulis,1996-01-05,2016-17,Phoenix Suns,NBA,918369
Jonas Valančiūnas,1992-05-06,2012-13,Toronto Raptors,NBA,3627720
Beno Udrih,1982-07-05,2009-10,Sacramento Kings,NBA,6031800
Ime Udoka,1977-08-09,2009-10,Sacramento Kings,NBA,838034
Damion James,1987-10-07,2011-12,New Jersey Nets,NBA,1243080
Damion James,1987-10-07,2012-13,Brooklyn Nets,NBA,50258
LeBron James,1984-12-30,2010-11,Miami Heat,NBA,14500000
LeBron James,1984-12-30,2011-12,Miami Heat,NBA,16022500
LeBron James,1984-12-30,2012-13,Miami Heat,NBA,17545000
LeBron James,1984-12-30,2013-14,Miami Heat,NBA,19067500
LeBron James,1984-12-30,2014-15,Cleveland Cavaliers,NBA,20644400
LeBron James,1984-12-30,2015-16,Cleveland Cavaliers,NBA,22971000
LeBron James,1984-12-30,2016-17,Cleveland Cavaliers,NBA,30963450
LeBron James,1984-12-30,2017-18,Cleveland Cavaliers,NBA,33285709
LeBron James,1984-12-30,2018-19,Los Angeles Lakers,NBA,35654150
LeBron James,1984-12-30,2019-20,Los Angeles Lakers,NBA,37436858
LeBron James,1984-12-30,2020-21,Los Angeles Lakers,NBA,39219566
Justin James,1997-01-24,2020-21,Sacramento Kings,NBA,1517981
Ivan Rabb,1997-02-04,2018-19,Memphis Grizzlies,NBA,1378242
Ivan Rabb,1997-02-04,2019-20,Memphis Grizzlies,NBA,371758
Dean Wade,1996-11-20,2020-21,Cleveland Cavaliers,NBA,1517981
Denzel Valentine,1993-11-16,2017-18,Chicago Bulls,NBA,2186400
Denzel Valentine,1993-11-16,2018-19,Chicago Bulls,NBA,2280600
Denzel Valentine,1993-11-16,2019-20,Chicago Bulls,NBA,3377569
Denzel Valentine,1993-11-16,2020-21,Chicago Bulls,NBA,4642800
Ben Uzoh,1988-03-19,2011-12,Cleveland Cavaliers,NBA,61433
Jarrod Uthoff,1993-05-19,2016-17,Toronto Raptors,NBA,50000
Jarrod Uthoff,1993-05-19,2017-18,Indiana Pacers,NBA,7416
Jarrod Uthoff,1993-05-19,2019-20,Washington Wizards,NBA,163356
Jarrod Uthoff,1993-05-19,2019-20,Memphis Grizzlies,NBA,81678
Tyler Ulis,1996-01-05,2017-18,Phoenix Suns,NBA,1312611
Tyler Ulis,1996-01-05,2019-20,Sacramento Kings,NBA,50000
Jonas Valančiūnas,1992-05-06,2013-14,Toronto Raptors,NBA,3526440
